iter	Passed	Remaining
0	0	189
1	0	194
2	0	189
3	1	184
4	1	181
5	1	181
6	2	182
7	2	236
8	3	230
9	3	228
10	4	262
11	4	255
12	5	255
13	5	250
14	5	245
15	6	241
16	6	236
17	6	237
18	7	238
19	7	235
20	7	232
21	8	229
22	8	240
23	9	237
24	9	234
25	9	232
26	10	230
27	10	227
28	10	225
29	11	225
30	11	223
31	11	221
32	12	230
33	12	227
34	12	225
35	13	224
36	13	222
37	13	221
38	14	219
39	14	220
40	14	219
41	15	226
42	16	225
43	16	224
44	16	222
45	17	221
46	17	220
47	17	219
48	17	217
49	18	216
50	18	215
51	19	223
52	19	221
53	20	220
54	20	218
55	20	217
56	21	216
57	21	215
58	21	214
59	21	213
60	22	211
61	22	210
62	22	210
63	23	208
64	23	208
65	23	206
66	24	207
67	24	207
68	25	208
69	26	213
70	26	213
71	26	212
72	27	211
73	27	210
74	27	209
75	27	208
76	28	207
77	28	206
78	28	205
79	29	204
80	29	203
81	29	202
82	29	202
83	30	201
84	30	200
85	30	199
86	31	198
87	31	197
88	31	196
89	31	196
90	32	195
91	32	194
92	32	193
93	33	193
94	33	192
95	33	191
96	33	191
97	34	190
98	34	189
99	34	189
100	35	188
101	35	187
102	36	190
103	36	189
104	36	188
105	37	188
106	37	188
107	37	187
108	38	186
109	38	186
110	38	186
111	39	185
112	39	184
113	39	184
114	39	183
115	40	182
116	40	182
117	40	181
118	41	180
119	41	180
120	41	179
121	41	179
122	42	178
123	42	177
124	42	177
125	43	176
126	43	176
127	43	175
128	43	175
129	44	174
130	44	173
131	44	173
132	45	172
133	45	172
134	45	171
135	45	171
136	46	170
137	46	169
138	46	169
139	46	168
140	47	168
141	47	167
142	48	167
143	48	167
144	48	166
145	48	166
146	49	166
147	49	165
148	49	164
149	50	164
150	50	163
151	50	163
152	51	163
153	51	163
154	51	162
155	51	162
156	52	161
157	52	161
158	53	161
159	53	161
160	53	161
161	54	160
162	54	160
163	54	160
164	55	159
165	56	161
166	56	160
167	56	160
168	57	160
169	57	159
170	57	159
171	57	158
172	58	158
173	58	157
174	58	157
175	59	156
176	59	156
177	59	155
178	59	155
179	60	154
180	60	154
181	60	153
182	61	153
183	61	153
184	61	153
185	62	154
186	63	154
187	64	155
188	64	154
189	64	154
190	64	153
191	65	153
192	65	152
193	65	152
194	66	153
195	67	153
196	67	152
197	68	153
198	68	152
199	68	152
200	69	152
201	69	151
202	69	151
203	69	150
204	70	150
205	70	149
206	70	149
207	71	148
208	71	148
209	71	147
210	72	147
211	72	147
212	72	146
213	72	146
214	73	145
215	73	145
216	73	144
217	73	144
218	74	143
219	74	143
220	75	143
221	76	144
222	77	145
223	77	145
224	78	144
225	78	144
226	78	144
227	78	143
228	79	143
229	79	142
230	79	142
231	80	141
