stop_id,route_id,delay_at_stop_min,missed_time_window,distance_from_prev_km,planned_travel_min,stop_sequence,road_type,hour_of_day,day_of_week,traffic_level,weather_condition,is_rush_hour,precipitation_mm,hist_delay_probability,cumulative_delay_min,prev_stop_delay_min,time_window_slack_min,stop_progress_ratio,planned_speed_kmh,hist_slack_min,is_high_risk_weather,is_urban_road,traffic_weather_risk
STP-95181,RT-0001,1.0,0,9.85,13.1,1,1,15,6,2,1,0.0,0.0,0.033,0.0,0.0,73.0,0.1111111111111111,45.11450381679389,66.92,0,0,2
STP-38221,RT-0001,-1.4,0,17.59,23.5,2,1,16,6,2,1,0.0,7.8,0.033,1.0,1.0,86.0,0.2222222222222222,44.91063829787234,72.03999999999999,0,0,2
STP-80284,RT-0001,3.4,0,63.19,84.3,3,1,18,6,2,1,0.0,0.0,0.033,-0.3999999999999999,-1.4,86.0,0.3333333333333333,44.97508896797153,72.03999999999999,0,0,2
STP-19116,RT-0001,5.1,0,36.26,48.3,4,1,18,6,2,1,1.0,0.0,0.033,3.0,3.4,73.0,0.4444444444444444,45.04347826086956,59.04,0,0,2
STP-57819,RT-0001,1.2,0,10.2,13.6,5,1,19,6,2,1,0.0,14.0,0.033,8.1,5.1,62.0,0.5555555555555556,45.0,48.04,0,0,2
STP-42087,RT-0001,0.2,0,1.25,1.7,6,1,19,6,2,1,0.0,14.0,0.033,9.299999999999999,1.2,77.0,0.6666666666666666,44.11764705882353,63.04,0,0,2
STP-14207,RT-0001,1.0,0,42.82,57.1,7,1,20,6,2,1,1.0,0.0,0.033,9.499999999999998,0.2,73.0,0.7777777777777778,44.99474605954466,66.48,0,0,2
STP-94259,RT-0001,1.2,0,24.14,32.2,8,1,21,6,2,1,0.0,0.0,0.033,10.499999999999998,1.0,87.0,0.8888888888888888,44.981366459627324,80.48,0,0,2
STP-38746,RT-0001,4.1,0,36.51,48.7,9,1,22,6,2,1,0.0,8.5,0.033,11.699999999999998,1.2,88.0,1.0,44.98151950718685,81.48,0,0,2
STP-44522,RT-0002,8.5,0,64.66,43.1,1,0,16,4,1,0,0.0,20.8,0.25,0.0,0.0,83.0,0.125,90.01392111368908,59.03,0,0,3
STP-30032,RT-0002,9.9,0,50.44,33.6,2,0,17,4,1,0,0.0,0.0,0.25,8.5,8.5,81.0,0.25,90.07142857142856,57.03,0,0,3
STP-57576,RT-0002,8.5,0,48.18,32.1,3,0,18,4,1,0,0.0,20.8,0.25,18.4,9.9,74.0,0.375,90.05607476635514,50.03,0,0,3
STP-79822,RT-0002,4.6,0,36.88,24.6,4,0,19,4,1,0,0.0,0.0,0.25,26.9,8.5,86.0,0.5,89.95121951219512,62.03,0,0,3
STP-80686,RT-0002,5.4,0,28.85,19.2,5,0,19,4,1,0,0.0,0.0,0.25,31.5,4.6,72.0,0.625,90.15625,48.03,0,0,3
STP-42493,RT-0002,6.1,0,39.76,26.5,6,0,20,4,1,0,1.0,0.0,0.25,36.9,5.4,84.0,0.75,90.02264150943397,69.89,0,0,3
