road_type,traffic_level,weather_condition,time_bucket,sample_count,mean_delay_min,median_delay_min,p90_delay_min,p95_delay_min,std_delay_min,on_time_rate,delay_probability
highway,low,clear,morning_rush,157,3.9,3.31,5.9,6.47,1.56,0.87,0.13
highway,low,clear,midday,78,3.0,2.55,4.54,4.98,1.2,0.9,0.1
highway,low,clear,evening_rush,166,3.9,3.31,5.9,6.47,1.56,0.87,0.13
highway,low,clear,night,20,2.4,2.04,3.63,3.98,0.96,0.92,0.08
highway,low,cloudy,morning_rush,96,4.29,3.65,6.49,7.13,1.72,0.857,0.143
highway,low,cloudy,midday,140,3.3,2.8,4.99,5.48,1.32,0.89,0.11
highway,low,cloudy,evening_rush,81,4.29,3.65,6.49,7.13,1.72,0.857,0.143
highway,low,cloudy,night,79,2.64,2.24,4.0,4.39,1.06,0.912,0.088
highway,low,fog,morning_rush,36,5.85,4.97,8.85,9.71,2.34,0.805,0.195
highway,low,fog,midday,84,4.5,3.82,6.8,7.47,1.8,0.85,0.15
highway,low,fog,evening_rush,112,5.85,4.97,8.85,9.71,2.34,0.805,0.195
highway,low,fog,night,90,3.6,3.06,5.44,5.98,1.44,0.88,0.12
highway,low,rain,morning_rush,116,7.02,5.97,10.62,11.66,2.81,0.766,0.234
highway,low,rain,midday,198,5.4,4.59,8.16,8.96,2.16,0.82,0.18
highway,low,rain,evening_rush,41,7.02,5.97,10.62,11.66,2.81,0.766,0.234
highway,low,rain,night,115,4.32,3.67,6.53,7.17,1.73,0.856,0.144
highway,low,snow,morning_rush,195,9.75,8.29,14.74,16.18,3.9,0.675,0.325
highway,low,snow,midday,143,7.5,6.38,11.34,12.45,3.0,0.75,0.25
highway,low,snow,evening_rush,94,9.75,8.29,14.74,16.18,3.9,0.675,0.325
highway,low,snow,night,168,6.0,5.1,9.07,9.96,2.4,0.8,0.2
highway,low,wind,morning_rush,70,4.68,3.98,7.07,7.77,1.87,0.844,0.156
highway,low,wind,midday,58,3.6,3.06,5.44,5.98,1.44,0.88,0.12
highway,low,wind,evening_rush,111,4.68,3.98,7.07,7.77,1.87,0.844,0.156
highway,low,wind,night,43,2.88,2.45,4.35,4.78,1.15,0.904,0.096
highway,moderate,clear,morning_rush,49,5.46,4.64,8.25,9.06,2.18,0.818,0.182
highway,moderate,clear,midday,86,4.2,3.57,6.35,6.97,1.68,0.86,0.14
highway,moderate,clear,evening_rush,198,5.46,4.64,8.25,9.06,2.18,0.818,0.182
highway,moderate,clear,night,170,3.36,2.86,5.08,5.57,1.34,0.888,0.112
highway,moderate,cloudy,morning_rush,137,6.01,5.11,9.08,9.97,2.4,0.8,0.2
highway,moderate,cloudy,midday,154,4.62,3.93,6.99,7.67,1.85,0.846,0.154
highway,moderate,cloudy,evening_rush,152,6.01,5.11,9.08,9.97,2.4,0.8,0.2
highway,moderate,cloudy,night,139,3.7,3.15,5.59,6.14,1.48,0.877,0.123
highway,moderate,fog,morning_rush,170,8.19,6.96,12.39,13.6,3.28,0.727,0.273
highway,moderate,fog,midday,101,6.3,5.35,9.53,10.46,2.52,0.79,0.21
highway,moderate,fog,evening_rush,74,8.19,6.96,12.39,13.6,3.28,0.727,0.273
highway,moderate,fog,night,36,5.04,4.28,7.63,8.37,2.02,0.832,0.168
highway,moderate,rain,morning_rush,54,9.83,8.36,14.86,16.31,3.93,0.672,0.328
highway,moderate,rain,midday,196,7.56,6.43,11.43,12.54,3.02,0.748,0.252
highway,moderate,rain,evening_rush,22,9.83,8.36,14.86,16.31,3.93,0.672,0.328
highway,moderate,rain,night,94,6.05,5.14,9.15,10.04,2.42,0.798,0.202
highway,moderate,snow,morning_rush,23,13.65,11.6,20.64,22.66,5.46,0.545,0.455
highway,moderate,snow,midday,169,10.5,8.92,15.88,17.43,4.2,0.65,0.35
highway,moderate,snow,evening_rush,102,13.65,11.6,20.64,22.66,5.46,0.545,0.455
highway,moderate,snow,night,93,8.4,7.14,12.7,13.94,3.36,0.72,0.28
highway,moderate,wind,morning_rush,82,6.55,5.57,9.9,10.87,2.62,0.782,0.218
highway,moderate,wind,midday,132,5.04,4.28,7.63,8.37,2.02,0.832,0.168
highway,moderate,wind,evening_rush,146,6.55,5.57,9.9,10.87,2.62,0.782,0.218
highway,moderate,wind,night,186,4.03,3.43,6.09,6.69,1.61,0.866,0.134
highway,high,clear,morning_rush,131,7.8,6.63,11.79,12.95,3.12,0.74,0.26
highway,high,clear,midday,128,6.0,5.1,9.07,9.96,2.4,0.8,0.2
highway,high,clear,evening_rush,44,7.8,6.63,11.79,12.95,3.12,0.74,0.26
highway,high,clear,night,151,4.8,4.08,7.26,7.97,1.92,0.84,0.16
highway,high,cloudy,morning_rush,69,8.58,7.29,12.97,14.24,3.43,0.714,0.286
highway,high,cloudy,midday,33,6.6,5.61,9.98,10.96,2.64,0.78,0.22
highway,high,cloudy,evening_rush,198,8.58,7.29,12.97,14.24,3.43,0.714,0.286
highway,high,cloudy,night,155,5.28,4.49,7.98,8.76,2.11,0.824,0.176
highway,high,fog,morning_rush,115,11.7,9.94,17.69,19.42,4.68,0.61,0.39
highway,high,fog,midday,148,9.0,7.65,13.61,14.94,3.6,0.7,0.3
highway,high,fog,evening_rush,33,11.7,9.94,17.69,19.42,4.68,0.61,0.39
highway,high,fog,night,35,7.2,6.12,10.89,11.95,2.88,0.76,0.24
highway,high,rain,morning_rush,45,14.04,11.93,21.23,23.31,5.62,0.532,0.468
highway,high,rain,midday,198,10.8,9.18,16.33,17.93,4.32,0.64,0.36
highway,high,rain,evening_rush,157,14.04,11.93,21.23,23.31,5.62,0.532,0.468
highway,high,rain,night,142,8.64,7.34,13.07,14.35,3.46,0.712,0.288
highway,high,snow,morning_rush,82,19.5,16.57,29.48,32.37,7.8,0.35,0.65
highway,high,snow,midday,41,15.0,12.75,22.68,24.9,6.0,0.5,0.5
highway,high,snow,evening_rush,99,19.5,16.57,29.48,32.37,7.8,0.35,0.65
highway,high,snow,night,72,12.0,10.2,18.14,19.92,4.8,0.6,0.4
highway,high,wind,morning_rush,169,9.36,7.96,14.15,15.53,3.74,0.688,0.312
highway,high,wind,midday,41,7.2,6.12,10.89,11.95,2.88,0.76,0.24
highway,high,wind,evening_rush,103,9.36,7.96,14.15,15.53,3.74,0.688,0.312
highway,high,wind,night,43,5.76,4.9,8.7,9.55,2.3,0.808,0.192
highway,congested,clear,morning_rush,36,11.7,9.94,17.69,19.42,4.68,0.61,0.39
highway,congested,clear,midday,84,9.0,7.65,13.61,14.94,3.6,0.7,0.3
highway,congested,clear,evening_rush,78,11.7,9.94,17.69,19.42,4.68,0.61,0.39
highway,congested,clear,night,130,7.2,6.12,10.89,11.95,2.88,0.76,0.24
highway,congested,cloudy,morning_rush,143,12.87,10.94,19.46,21.37,5.15,0.571,0.429
highway,congested,cloudy,midday,156,9.9,8.42,14.97,16.43,3.96,0.67,0.33
highway,congested,cloudy,evening_rush,125,12.87,10.94,19.46,21.37,5.15,0.571,0.429
highway,congested,cloudy,night,63,7.92,6.73,11.98,13.15,3.17,0.736,0.264
highway,congested,fog,morning_rush,181,17.55,14.92,26.54,29.13,7.02,0.415,0.585
highway,congested,fog,midday,46,13.5,11.47,20.41,22.41,5.4,0.55,0.45
highway,congested,fog,evening_rush,23,17.55,14.92,26.54,29.13,7.02,0.415,0.585
highway,congested,fog,night,144,10.8,9.18,16.33,17.93,4.32,0.64,0.36
highway,congested,rain,morning_rush,160,21.06,17.9,31.84,34.95,8.42,0.298,0.702
highway,congested,rain,midday,39,16.2,13.77,24.49,26.89,6.48,0.46,0.54
