route_id,stop_sequence,stop_id,latitude,longitude,distance_from_prev_km,road_type,planned_arrival,actual_arrival,time_window_open,time_window_close,planned_service_min,actual_service_min,planned_travel_min,actual_travel_min,delay_at_stop_min,missed_time_window,delay_probability,package_count,package_weight_kg
RT-0001,1,STP-00001,39.310187,37.232487,11.28,urban,2025-06-01 07:10:42,2025-06-01 07:11:30,2025-06-01 06:42:42,2025-06-01 08:56:42,9.7,10.0,10.7,11.3,0.8,0,0.27,6,156.5
RT-0001,2,STP-00002,39.674753,37.215194,8.99,urban,2025-06-01 07:28:12,2025-06-01 07:23:30,2025-06-01 07:02:12,2025-06-01 08:12:12,11.6,12.4,7.8,7.3,-4.7,0,0.211,5,47.0
RT-0001,3,STP-00003,39.283989,37.14817,9.79,urban,2025-06-01 07:54:12,2025-06-01 08:08:36,2025-06-01 07:38:12,2025-06-01 08:41:12,5.8,4.2,14.4,14.5,14.4,0,0.172,4,63.8
RT-0001,4,STP-00004,39.213119,37.444814,5.84,urban,2025-06-01 08:03:30,2025-06-01 08:07:18,2025-06-01 07:51:30,2025-06-01 09:23:30,13.4,13.0,3.5,3.9,3.8,0,0.345,11,162.2
RT-0001,5,STP-00005,39.782418,37.443839,15.67,urban,2025-06-01 08:28:42,2025-06-01 08:30:54,2025-06-01 08:08:42,2025-06-01 09:19:42,11.3,8.7,11.8,12.7,2.2,0,0.035,2,84.0
RT-0001,6,STP-00006,39.557338,36.879819,21.58,urban,2025-06-01 09:06:12,2025-06-01 09:19:12,2025-06-01 08:46:12,2025-06-01 10:04:12,12.9,14.0,26.2,25.6,13.0,0,0.204,7,174.8
RT-0001,7,STP-00007,39.307009,37.331407,22.93,urban,2025-06-01 09:41:54,2025-06-01 09:58:42,2025-06-01 09:28:54,2025-06-01 10:29:54,17.3,18.5,22.8,22.8,16.8,0,0.03,14,33.8
RT-0001,8,STP-00008,39.804973,37.239052,23.93,urban,2025-06-01 10:24:00,2025-06-01 10:35:18,2025-06-01 09:56:00,2025-06-01 12:16:00,13.5,11.4,24.8,23.0,11.3,0,0.06,10,92.5
RT-0001,9,STP-00009,39.458116,37.000954,4.5,urban,2025-06-01 10:38:54,2025-06-01 10:59:06,2025-06-01 10:26:54,2025-06-01 11:47:54,9.1,9.2,1.4,0.9,20.2,0,0.258,1,73.6
RT-0001,10,STP-00010,39.331768,37.223504,24.5,urban,2025-06-01 11:23:06,2025-06-01 11:51:30,2025-06-01 11:12:06,2025-06-01 12:50:06,10.8,9.4,35.1,37.3,28.4,0,0.201,10,113.1
RT-0001,11,STP-00011,39.89369,37.166848,24.07,urban,2025-06-01 11:54:06,2025-06-01 12:30:12,2025-06-01 11:24:06,2025-06-01 12:46:06,17.6,18.4,20.2,23.2,36.1,0,0.244,12,21.4
RT-0001,12,STP-00012,39.590574,37.070595,11.01,urban,2025-06-01 12:29:12,2025-06-01 13:10:54,2025-06-01 11:59:12,2025-06-01 14:21:12,16.6,18.1,17.5,16.6,41.7,0,0.101,11,121.6
RT-0002,1,STP-00013,39.416707,37.063676,10.33,urban,2025-06-01 07:10:00,2025-06-01 07:08:36,2025-06-01 06:48:00,2025-06-01 07:56:00,10.2,7.5,10.0,6.1,-1.4,0,0.317,11,141.2
RT-0002,2,STP-00014,39.212761,37.016206,20.89,urban,2025-06-01 07:40:42,2025-06-01 07:35:42,2025-06-01 07:28:42,2025-06-01 09:32:42,16.1,14.0,20.5,19.4,-5.0,0,0.38,11,182.9
RT-0002,3,STP-00015,39.818578,36.826423,10.52,urban,2025-06-01 08:09:48,2025-06-01 08:06:36,2025-06-01 07:56:48,2025-06-01 09:43:48,20.0,16.2,13.0,13.5,-3.2,0,0.135,3,20.0
RT-0002,4,STP-00016,39.45501,37.30371,19.86,urban,2025-06-01 08:56:54,2025-06-01 09:00:30,2025-06-01 08:27:54,2025-06-01 09:47:54,7.4,6.8,27.1,27.0,3.6,0,0.388,14,140.1
RT-0002,5,STP-00017,39.889108,37.123176,16.43,urban,2025-06-01 09:24:06,2025-06-01 09:19:06,2025-06-01 08:59:06,2025-06-01 10:18:06,8.5,12.1,19.8,16.5,-5.0,0,0.113,4,65.3
RT-0002,6,STP-00018,39.588179,36.871813,11.4,urban,2025-06-01 09:33:30,2025-06-01 09:32:18,2025-06-01 09:15:30,2025-06-01 10:09:30,17.3,14.1,0.9,-1.7,-1.2,0,0.338,13,122.9
RT-0003,1,STP-00019,39.85133,37.090428,9.27,highway,2025-06-01 07:11:30,2025-06-01 07:07:30,2025-06-01 06:59:30,2025-06-01 08:09:30,18.6,14.8,11.5,19.9,-4.0,0,0.159,3,167.1
RT-0003,2,STP-00020,39.400816,37.380833,11.23,highway,2025-06-01 07:42:00,2025-06-01 07:43:24,2025-06-01 07:12:00,2025-06-01 08:54:00,8.4,7.3,11.9,19.1,1.4,0,0.278,6,186.5
RT-0003,3,STP-00021,39.56944,36.877831,6.05,highway,2025-06-01 07:56:12,2025-06-01 07:51:24,2025-06-01 07:40:12,2025-06-01 08:45:12,5.1,4.1,5.8,6.1,-4.8,0,0.115,2,8.7
RT-0003,4,STP-00022,39.602533,37.302981,9.63,highway,2025-06-01 08:17:48,2025-06-01 08:19:48,2025-06-01 07:52:48,2025-06-01 10:03:48,16.9,16.3,16.5,23.3,2.0,0,0.117,8,17.2
RT-0003,5,STP-00023,39.750489,37.155336,3.03,highway,2025-06-01 08:34:24,2025-06-01 08:40:36,2025-06-01 08:13:24,2025-06-01 09:12:24,7.8,7.1,-0.3,1.9,6.2,0,0.008,11,21.7
RT-0003,6,STP-00024,39.272565,37.207332,22.21,highway,2025-06-01 09:13:36,2025-06-01 09:17:48,2025-06-01 09:01:36,2025-06-01 10:27:36,10.6,13.5,31.4,49.8,4.2,0,0.303,12,8.2
