route_id,vehicle_id,vehicle_type,driver_id,num_stops,departure_planned,departure_actual,total_distance_km,planned_duration_min,actual_duration_min,total_delay_min,on_time_delivery_rate,weather_condition,temperature_c,precipitation_mm,wind_speed_kmh,humidity_pct,visibility_km,traffic_level,road_incident,incident_severity,overall_delay_factor
RT-0001,0,van,DRV-001,12,2025-06-01 07:00:00,2025-06-01 07:16:00,28.7,39.9,39.9,0.0,0.77,wind,15.1,0.0,1.6,44.2,10.6,low,0,0.0,1.0
RT-0002,1,motorcycle,DRV-002,6,2025-06-01 07:00:00,2025-06-01 07:19:00,89.8,98.1,98.1,0.0,0.74,clear,2.7,0.0,8.6,92.2,7.4,moderate,0,0.0,1.0
RT-0003,2,van,DRV-003,11,2025-06-01 07:00:00,2025-06-01 07:18:00,73.6,94.8,149.8,55.0,0.75,clear,11.5,0.0,30.4,83.9,12.8,congested,0,0.0,1.58
RT-0004,3,van,DRV-004,5,2025-06-01 07:00:00,2025-06-01 07:02:00,58.0,77.8,77.8,0.0,0.78,fog,15.9,0.0,45.9,40.6,7.8,moderate,1,0.77,1.0
RT-0005,0,car,DRV-005,12,2025-06-01 09:00:00,2025-06-01 09:15:00,42.0,61.5,61.5,0.0,0.73,wind,15.3,0.0,42.3,33.6,16.6,low,0,0.0,1.0
RT-0006,1,truck,DRV-006,11,2025-06-02 09:00:00,2025-06-02 09:01:00,59.6,64.8,99.8,35.0,0.78,fog,23.8,0.0,14.6,46.0,11.7,congested,1,0.48,1.54
RT-0007,2,motorcycle,DRV-007,6,2025-06-02 07:00:00,2025-06-02 06:58:00,82.7,99.1,143.7,44.6,0.77,snow,19.4,5.2,3.5,54.8,19.9,congested,0,0.0,1.45
RT-0008,3,van,DRV-008,8,2025-06-02 09:00:00,2025-06-02 08:58:00,63.5,89.9,109.7,19.8,0.98,snow,27.5,7.6,48.2,47.1,10.5,high,0,0.0,1.22
RT-0009,0,truck,DRV-009,6,2025-06-02 09:00:00,2025-06-02 09:19:00,73.9,88.4,88.4,0.0,0.91,cloudy,9.7,0.0,29.2,30.0,7.2,low,0,0.0,1.0
RT-0010,1,truck,DRV-010,5,2025-06-02 07:00:00,2025-06-02 07:02:00,28.6,26.9,26.9,0.0,0.79,clear,18.4,0.0,3.8,79.4,15.6,low,0,0.0,1.0
RT-0011,2,car,DRV-001,7,2025-06-03 08:00:00,2025-06-03 08:12:00,91.3,102.0,120.4,18.4,0.87,cloudy,20.8,0.0,20.5,88.5,9.6,congested,0,0.0,1.18
RT-0012,3,van,DRV-002,5,2025-06-03 08:00:00,2025-06-03 07:55:00,90.8,105.1,105.1,0.0,0.62,cloudy,10.1,0.0,3.7,32.0,7.3,moderate,0,0.0,1.0
RT-0013,0,truck,DRV-003,11,2025-06-03 10:00:00,2025-06-03 10:02:00,100.7,126.0,126.0,0.0,0.68,snow,15.9,9.4,5.3,58.0,9.0,moderate,0,0.0,1.0
RT-0014,1,van,DRV-004,12,2025-06-03 08:00:00,2025-06-03 08:01:00,64.9,60.1,60.1,0.0,0.77,rain,13.0,1.5,15.3,46.2,18.5,low,1,0.61,1.0
RT-0015,2,van,DRV-005,10,2025-06-03 08:00:00,2025-06-03 08:00:00,68.6,81.9,81.9,0.0,0.69,snow,13.7,1.4,22.1,33.8,8.2,low,0,0.0,1.0
RT-0016,3,motorcycle,DRV-006,7,2025-06-04 10:00:00,2025-06-04 09:59:00,49.7,44.3,70.0,25.7,0.83,rain,10.7,7.9,29.8,78.6,2.1,high,0,0.0,1.58
RT-0017,0,car,DRV-007,7,2025-06-04 07:00:00,2025-06-04 07:16:00,60.4,71.5,111.5,40.0,0.83,snow,-0.6,1.2,31.8,32.6,2.6,congested,1,0.76,1.56
RT-0018,1,truck,DRV-008,9,2025-06-04 09:00:00,2025-06-04 09:09:00,112.9,128.3,200.1,71.8,0.6,snow,13.8,4.3,34.2,66.6,2.9,high,0,0.0,1.56
RT-0019,2,truck,DRV-009,11,2025-06-04 09:00:00,2025-06-04 09:00:00,103.4,127.1,127.1,0.0,0.88,snow,13.2,2.8,33.6,94.2,13.4,moderate,0,0.0,1.0
