segment_id,center_lat,center_lon,road_type,hour_of_day,day_of_week,is_rush_hour,is_weekend,free_flow_speed_kmh,current_speed_kmh,congestion_ratio,traffic_level,incident_reported,avg_vehicle_count_per_min,timestamp
SEG-10000,39.603558,37.047358,highway,15,0,0,0,97.1,72.4,0.325,moderate,0,59.2,2025-05-01 00:00:00
SEG-10001,39.486323,37.233778,rural,14,5,0,1,73.4,41.8,0.671,high,0,29.2,2025-05-01 01:00:00
SEG-10002,39.677789,37.23443,rural,11,0,0,0,64.9,50.4,0.467,high,0,50.2,2025-05-01 02:00:00
SEG-10003,39.356136,37.411911,highway,4,6,0,1,83.5,84.8,0.096,low,0,24.2,2025-05-01 03:00:00
SEG-10004,39.737752,36.93963,mountain,20,4,0,0,37.9,38.9,0.044,low,0,31.7,2025-05-01 04:00:00
SEG-10005,39.891468,37.341944,mountain,3,2,0,0,43.8,31.4,0.357,moderate,0,49.5,2025-05-01 05:00:00
SEG-10006,39.258514,36.848481,mountain,15,1,0,0,36.5,37.7,0.097,low,0,52.9,2025-05-01 06:00:00
SEG-10007,39.7487,37.475913,urban,21,2,0,0,52.4,45.4,0.155,low,0,55.2,2025-05-01 07:00:00
SEG-10008,39.631559,37.026613,mountain,0,4,0,0,51.8,24.2,0.657,high,0,45.5,2025-05-01 08:00:00
SEG-10009,39.754412,37.271762,rural,0,1,0,0,69.0,45.6,0.582,high,0,44.7,2025-05-01 09:00:00
SEG-10010,39.885322,37.094123,mountain,4,5,0,1,37.1,29.7,0.428,high,0,24.1,2025-05-01 10:00:00
SEG-10011,39.287322,37.149391,urban,21,4,0,0,49.1,41.8,0.275,moderate,0,27.8,2025-05-01 11:00:00
SEG-10012,39.32307,37.099869,rural,11,6,0,1,73.0,60.4,0.229,moderate,0,26.0,2025-05-01 12:00:00
SEG-10013,39.262747,36.811499,mountain,20,2,0,0,46.0,25.9,0.589,high,0,10.7,2025-05-01 13:00:00
SEG-10014,39.34831,37.343816,highway,20,3,0,0,87.7,76.9,0.242,moderate,0,57.3,2025-05-01 14:00:00
SEG-10015,39.555293,36.987326,rural,14,3,0,0,69.2,59.4,0.253,moderate,0,21.9,2025-05-01 15:00:00
SEG-10016,39.563274,37.318872,mountain,21,1,0,0,38.7,39.7,0.011,low,0,28.7,2025-05-01 16:00:00
SEG-10017,39.290209,37.245391,mountain,6,4,0,0,42.8,33.7,0.262,moderate,0,14.6,2025-05-01 17:00:00
SEG-10018,39.642009,37.348997,rural,16,1,1,0,73.9,52.0,0.429,high,0,35.4,2025-05-01 18:00:00
SEG-10019,39.219473,37.295303,rural,6,0,0,0,64.1,66.5,0.083,low,0,9.3,2025-05-01 19:00:00
SEG-10020,39.330589,37.256766,mountain,0,5,0,1,40.6,31.0,0.374,moderate,0,44.9,2025-05-01 20:00:00
SEG-10021,39.383396,36.926439,mountain,8,5,1,1,43.2,29.5,0.438,high,0,51.5,2025-05-01 21:00:00
SEG-10022,39.253419,37.281135,urban,12,0,0,0,46.9,35.7,0.477,high,0,49.5,2025-05-01 22:00:00
SEG-10023,39.442749,37.496441,urban,9,0,1,0,53.1,27.0,0.767,congested,0,5.3,2025-05-01 23:00:00
SEG-10024,39.351415,37.055423,rural,3,1,0,0,71.0,56.0,0.334,moderate,0,9.6,2025-05-02 00:00:00
SEG-10025,39.406025,37.321636,urban,8,2,1,0,49.3,32.9,0.571,high,0,33.2,2025-05-02 01:00:00
SEG-10026,39.736514,37.01811,mountain,6,2,0,0,43.4,36.2,0.158,low,0,53.6,2025-05-02 02:00:00
SEG-10027,39.339805,37.047041,mountain,19,5,1,1,28.1,26.5,0.564,high,0,50.1,2025-05-02 03:00:00
SEG-10028,39.571349,37.078815,mountain,5,0,0,0,46.8,36.5,0.144,low,0,15.2,2025-05-02 04:00:00
SEG-10029,39.430209,37.125764,urban,2,1,0,0,56.0,37.1,0.429,high,0,54.4,2025-05-02 05:00:00
SEG-10030,39.625533,37.418352,highway,12,2,0,0,91.3,62.4,0.511,high,0,28.2,2025-05-02 06:00:00
SEG-10031,39.893182,37.094866,mountain,10,6,0,1,38.5,36.6,0.14,low,0,14.4,2025-05-02 07:00:00
SEG-10032,39.52324,36.891741,rural,18,3,1,0,71.3,58.1,0.284,moderate,0,34.0,2025-05-02 08:00:00
SEG-10033,39.392271,37.327585,rural,20,0,0,0,69.7,67.8,0.053,low,0,35.6,2025-05-02 09:00:00
SEG-10034,39.790153,37.456393,rural,15,4,0,0,72.8,67.7,0.055,low,0,12.6,2025-05-02 10:00:00
SEG-10035,39.458216,37.432016,rural,22,5,0,1,72.1,55.0,0.358,moderate,0,56.4,2025-05-02 11:00:00
SEG-10036,39.46569,37.289065,highway,8,6,1,1,95.9,67.9,0.41,high,0,22.6,2025-05-02 12:00:00
SEG-10037,39.662888,37.483445,urban,18,6,1,1,47.0,34.9,0.504,high,0,45.2,2025-05-02 13:00:00
SEG-10038,39.369663,37.252994,urban,2,2,0,0,54.8,35.2,0.493,high,0,32.2,2025-05-02 14:00:00
SEG-10039,39.346063,37.213366,urban,0,5,0,1,43.9,42.9,0.236,moderate,0,52.2,2025-05-02 15:00:00
SEG-10040,39.841688,37.069903,rural,22,3,0,0,63.3,47.2,0.542,high,0,27.0,2025-05-02 16:00:00
SEG-10041,39.303103,37.413337,highway,8,3,1,0,92.0,72.3,0.327,moderate,0,18.2,2025-05-02 17:00:00
SEG-10042,39.848849,36.858847,mountain,5,2,0,0,37.4,38.7,0.053,low,0,32.9,2025-05-02 18:00:00
SEG-10043,39.335752,36.932615,highway,14,2,0,0,91.2,76.2,0.256,moderate,0,20.2,2025-05-02 19:00:00
SEG-10044,39.602661,36.967137,mountain,16,3,1,0,36.1,26.9,0.544,high,0,43.5,2025-05-02 20:00:00
SEG-10045,39.443343,37.001595,mountain,12,3,0,0,39.2,36.4,0.151,low,0,45.4,2025-05-02 21:00:00
SEG-10046,39.67701,36.916652,highway,5,4,0,0,87.3,70.6,0.359,moderate,0,41.6,2025-05-02 22:00:00
SEG-10047,39.797163,37.215804,mountain,10,0,0,0,44.8,33.4,0.274,moderate,0,37.1,2025-05-02 23:00:00
SEG-10048,39.784751,37.167688,mountain,7,3,1,0,41.4,31.6,0.348,moderate,0,21.8,2025-05-03 00:00:00
SEG-10049,39.455003,36.809493,rural,14,3,0,0,72.4,48.7,0.506,high,0,44.1,2025-05-03 01:00:00
SEG-10050,39.799386,37.261557,mountain,3,2,0,0,43.7,23.3,0.694,high,0,45.8,2025-05-03 02:00:00
SEG-10051,39.514489,37.470814,mountain,11,1,0,0,44.6,31.2,0.366,moderate,0,19.6,2025-05-03 03:00:00
SEG-10052,39.605662,37.291285,rural,10,3,0,0,71.3,53.0,0.404,high,0,36.2,2025-05-03 04:00:00
SEG-10053,39.636657,37.265024,rural,9,0,1,0,67.8,37.3,0.778,congested,0,20.9,2025-05-03 05:00:00
SEG-10054,39.414075,37.101226,rural,0,3,0,0,69.9,67.7,0.054,low,0,24.3,2025-05-03 06:00:00
SEG-10055,39.403561,36.822496,rural,16,5,1,1,69.8,53.8,0.385,moderate,0,18.7,2025-05-03 07:00:00
SEG-10056,39.675246,37.025736,mountain,13,3,0,0,33.3,34.6,0.223,moderate,0,12.5,2025-05-03 08:00:00
SEG-10057,39.463176,37.413145,urban,9,2,1,0,46.4,40.1,0.329,moderate,0,12.6,2025-05-03 09:00:00
SEG-10058,39.526587,37.473013,mountain,22,2,0,0,29.3,32.1,0.329,moderate,1,47.2,2025-05-03 10:00:00
