obs_id,timestamp,latitude,longitude,weather_condition,temperature_c,feels_like_c,precipitation_mm,precipitation_type,wind_speed_kmh,wind_direction_deg,humidity_pct,pressure_hpa,visibility_km,cloud_cover_pct,uv_index,road_surface_condition,delay_risk_score
WOB-20000,2025-04-01 00:00:00,39.643473,37.339297,fog,14.6,13.5,0.0,none,22.9,172,75.5,982.7,1.5,39.6,2.7,dry,0.451
WOB-20001,2025-04-01 03:00:00,39.798903,36.88289,snow,4.6,1.8,0.6,snow,55.9,77,49.1,1028.2,11.4,79.8,3.4,icy,0.843
WOB-20002,2025-04-01 06:00:00,39.4731,36.872559,rain,11.9,9.6,6.3,rain,45.8,90,48.3,1029.2,14.2,9.2,7.3,wet,0.497
WOB-20003,2025-04-01 09:00:00,39.204284,37.433106,snow,17.4,15.5,12.1,snow,38.4,274,31.0,1003.7,19.9,51.6,3.2,icy,0.715
WOB-20004,2025-04-01 12:00:00,39.604488,37.417735,wind,4.8,4.2,0.0,none,11.8,183,58.9,1019.3,6.2,1.4,6.4,dry,0.252
WOB-20005,2025-04-01 15:00:00,39.497492,36.903092,rain,23.4,20.8,12.0,rain,51.2,56,89.8,982.7,14.6,52.9,1.8,wet,0.61
WOB-20006,2025-04-01 18:00:00,39.572603,37.122843,rain,10.4,8.2,10.6,rain,43.8,179,93.3,1011.8,18.0,36.8,2.1,wet,0.594
WOB-20007,2025-04-01 21:00:00,39.427009,36.977252,snow,16.9,14.8,10.2,snow,41.7,137,33.1,1013.8,8.5,42.9,2.4,icy,0.773
WOB-20008,2025-04-02 00:00:00,39.791857,36.853693,fog,13.0,10.8,0.0,none,44.4,71,91.4,987.7,4.5,71.3,3.6,dry,0.455
WOB-20009,2025-04-02 03:00:00,39.770919,36.859407,snow,5.2,3.2,14.7,snow,40.9,224,88.6,999.9,14.3,20.6,5.3,icy,0.696
WOB-20010,2025-04-02 06:00:00,39.807327,37.188562,wind,6.7,5.2,0.0,none,29.4,194,74.5,1021.0,5.5,89.8,2.8,dry,0.186
